Reviewer;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O
you;5;4;4;;1;;2;;;3;4;;1;1;1
r1;3;2;;1;3;3;;3;;2;;;;2;2
r2;1;;;;5;;;;;;;;;;
r3;3;4;1;1;3;5;4;1;3;4;2;1;5;;4
r4;4;3;1;2;;5;4;1;3;5;1;2;3;5;
r5;4;1;3;1;1;2;4;3;2;1;4;4;2;2;2
r6;;4;;;;;;;;;;;;;
r7;5;4;;;;1;;3;;;;;1;1;
r8;2;;;3;5;;;3;4;;5;4;;4;5
r9;;;;;;;2;;;;;;;;
r10;;;4;;1;1;2;2;;;4;;2;2;1
r11;;;4;2;3;3;;4;5;1;;;;3;
r12;5;;2;;;;;;1;;3;;;2;
r13;;;3;;1;;;;;;;5;;;
r14;2;;5;4;;;;;;;;;;;5
r15;3;;1;1;;;5;1;3;5;;2;4;4;3
r16;;;;4;;4;;5;;;2;;5;;3
r17;;;;;;;3;;;1;;;;;
r18;;3;;;;;4;1;3;5;;2;3;5;
r19;1;3;4;4;5;4;4;5;2;3;1;1;4;4;3
r20;;5;;4;;;2;5;5;;;;;;
r21;;;5;3;;;1;4;;;4;;;2;
r22;3;;3;;3;2;2;3;1;1;2;;3;2;3
r23;3;3;1;2;2;4;5;1;4;5;1;1;3;5;4
r24;2;2;2;5;;5;4;5;2;4;1;2;5;5;3
r25;;;4;4;;;;;4;;5;5;2;1;1
r26;;;;;3;3;;;;;;;;;
r27;2;;5;;;3;1;;;;;3;3;3;
r28;;4;5;;1;1;;2;;;3;5;;1;2
r29;4;;2;1;2;2;3;;;;4;5;3;1;
r30;;2;1;;;2;;3;;;3;4;;1;
r31;3;;;3;;;;;;5;;;;;4
r32;2;2;3;5;4;3;5;5;;4;1;1;5;4;3
r33;1;;;;4;5;5;5;2;;;;5;;
r34;;1;;5;4;;;5;1;3;;;;3;
r35;4;5;5;;;2;2;;;;;;1;2;
r36;;;2;;3;2;;4;1;;;;3;;2
r37;2;5;5;;;3;1;;;2;5;;;3;
r38;;1;;;;2;;;;1;;;;;
r39;;;2;1;;;;;;;;4;;;
r40;;2;3;5;5;3;4;5;;;1;1;4;3;2
r41;4;2;1;2;2;5;5;2;3;4;2;1;4;;5
r42;1;1;;4;4;5;4;5;2;;1;1;4;3;2
r43;2;;5;;;3;;4;5;;5;3;;;4
r44;3;;2;3;4;;4;1;4;4;3;;5;5;3
r45;;;;;;;;3;;1;;;;2;
r46;;3;;5;;;5;;;;;;;;
r47;4;2;3;1;2;2;2;2;1;2;3;4;2;3;3
r48;4;3;4;;1;1;2;3;4;;4;;1;1;
r49;5;5;4;4;1;2;2;1;3;3;5;5;1;1;1
r50;;3;;;;;;;;;;;;;
r51;1;5;5;;3;4;2;3;5;;4;3;2;3;5
r52;5;4;3;3;;2;2;2;5;;;4;1;1;
r53;1;1;4;4;;;5;;;4;1;;5;;3
r54;;;;;;;;3;;;;4;;;
r55;;3;;;;5;;;;;;;;5;
r56;4;;2;;3;4;4;2;3;5;2;;4;4;4
r57;;;;1;;;;;;;;;4;5;
r58;;;1;;4;;;;;;;1;;;4
r59;3;4;1;3;;4;4;;;;;1;4;5;4
r60;;;;;;;;;;;;;3;;
r61;5;1;1;1;;2;4;3;1;;;4;2;1;3
r62;;;;;5;;;3;;;;4;;;
r63;;;;;1;1;;;3;2;;;;1;
r64;1;;4;;;;;4;;;;;;;3
r65;5;;;;;1;2;;;;5;;;;
r66;5;4;;5;;;3;2;;4;4;4;1;;1
r67;;;;2;;3;2;;;2;;3;3;3;5
r68;5;;4;3;1;;1;2;4;4;5;4;1;1;
r69;;;;5;;;;;;;;;;1;
r70;1;;4;5;5;3;5;;1;3;1;1;5;4;4
r71;2;5;4;3;;;;4;5;2;;;4;4;
r72;2;;;;2;;5;1;;4;2;3;3;5;
r73;4;1;3;1;3;2;3;2;1;1;3;5;2;2;2
r74;5;1;;2;2;2;3;4;1;1;2;5;3;2;1
r75;;;;;;;;;;;5;;2;;
r76;;;;4;;;;;;;;;;;
r77;2;;2;4;5;4;5;;1;;;;5;;3
r78;3;5;5;3;4;2;2;4;5;2;4;2;3;3;5
r79;;2;1;;3;3;4;2;;1;3;;;2;1
r80;;;;2;;4;4;;2;5;;3;;;
r81;5;;3;;;;;1;3;;5;;;;
r82;;;;;;;;;;;5;4;;3;
r83;;;4;;;;;5;2;4;;;;;
r84;3;1;1;1;2;3;;;2;;3;5;2;;
r85;1;;;5;;;;;;;;;5;;
r86;;;;;;;;;;;5;;;;5
r87;5;5;3;4;1;2;2;;4;;4;5;1;2;1
r88;5;4;5;3;2;1;2;2;4;;5;5;1;1;1
r89;5;3;4;4;1;2;2;3;;3;3;5;1;1;
r90;4;3;1;;2;5;5;1;;;1;3;3;5;
r91;2;5;;4;;;2;4;4;;5;2;4;;
r92;;;;2;2;5;5;;;;;;4;;
r93;5;1;1;;3;;;;1;;;;3;1;
r94;;;;4;2;;;;4;;3;;;1;
r95;;;1;1;2;2;;;;;;5;;;
r96;;;;;;;;1;;5;;;;;4
r97;;;;;4;3;;4;;;;4;3;;
r98;1;3;4;;;4;5;5;2;4;1;1;;3;4
r99;1;2;4;4;5;;;5;3;4;1;;;3;
r100;;1;;;;3;5;;3;4;1;;;;
